"Date","Price","High","Low","Close","Adj.Close","Volume","Price.bracket"
2020-06-16,51.279999,51.380001,47.75,49.400002,49.400002,8029900,"high"
2020-06-17,49.189999,49.560001,48.259998,48.900002,48.900002,4128500,"medium"
2020-06-18,48.389999,49.200001,47.959999,48.200001,48.200001,5573400,"medium"
2020-06-19,49.09,49.150002,47.049999,47.189999,47.189999,8858200,"medium"
2020-06-22,46.779999,46.889999,45.110001,46.290001,46.290001,9069500,"medium"
2020-06-23,47,47.009998,46.349998,46.880001,46.880001,5939700,"medium"
2020-06-24,46.389999,46.669998,44.25,44.939999,44.939999,7658100,"low"
2020-06-25,44,45.150002,43.029999,44.990002,44.990002,10547700,"low"
2020-06-26,44.720001,44.84,43.009998,43.330002,43.330002,8055000,"low"
2020-06-29,43.52,44.939999,42.880001,44.650002,44.650002,7519300,"low"
2020-06-30,43.779999,45.720001,43.639999,45.540001,45.540001,5571300,"low"
2020-07-01,45.650002,46.639999,44.830002,45.040001,45.040001,3948800,"low"
2020-07-02,46.080002,46.970001,45.560001,46.34,46.34,4753300,"low"
2020-07-06,47.599998,48.369999,45.639999,47.07,47.07,7295000,"medium"
2020-07-07,46.189999,46.349998,44.98,45.029999,45.029999,5096400,"low"
2020-07-08,45.009998,45.919998,44.18,45.610001,45.610001,3999400,"low"
2020-07-09,45.560001,45.630001,43.709999,44.68,44.68,3836200,"low"
2020-07-10,44.5,45.779999,44.25,45.720001,45.720001,3594700,"low"
2020-07-13,46.57,50.099998,45.220001,48.529999,48.529999,11273000,"medium"
2020-07-14,47.849998,47.900002,46.540001,47.389999,47.389999,6821300,"medium"
2020-07-15,49.029999,50.450001,48.650002,50.25,50.25,6613800,"medium"
2020-07-16,49.43,49.959999,48.91,49.709999,49.709999,4030000,"high"
2020-07-17,49.869999,49.869999,48.279999,48.689999,48.689999,3258400,"high"
2020-07-20,48,48.57,46.549999,47.279999,47.279999,4612200,"medium"
2020-07-21,47.93,48.98,47.580002,48,48,4818700,"medium"
2020-07-22,47.639999,48.080002,46.599998,46.84,46.84,7446000,"medium"
2020-07-23,45.490002,45.98,44.25,44.880001,44.880001,10920800,"low"
2020-07-24,44.25,44.950001,43.810001,44.360001,44.360001,5408200,"low"
2020-07-27,43.860001,44.209999,42.689999,43.48,43.48,6681000,"low"
2020-07-28,43.189999,44.799999,43.150002,44.220001,44.220001,7858800,"low"
2020-07-29,44.150002,45.130001,43.369999,44.32,44.32,4649400,"low"
2020-07-30,44.41,45.75,44.240002,45.5,45.5,6033000,"low"
2020-07-31,45.139999,45.169998,43.139999,43.639999,43.639999,4675600,"low"
2020-08-03,43.18,44.529999,42.580002,44,44,4364200,"low"
2020-08-04,44.029999,44.27,43.330002,43.73,43.73,4017900,"low"
2020-08-05,44.240002,44.860001,42.950001,43.34,43.34,5467300,"low"
2020-08-06,43.119999,45.619999,42.68,45.220001,45.220001,9063200,"low"
2020-08-07,44.75,44.959999,43.5,44.200001,44.200001,5886300,"low"
2020-08-10,46.450001,48.259998,46.330002,47.52,47.52,10497100,"low"
2020-08-11,49.549999,51.41,49.389999,51,51,18750400,"high"
2020-08-12,51.389999,51.52,48.59,49.07,49.07,5334500,"high"
2020-08-13,48.490002,49.110001,47.98,48.619999,48.619999,4557600,"medium"
2020-08-14,48.09,48.73,47.799999,48.369999,48.369999,5896600,"medium"
2020-08-17,48.200001,48.389999,47.509998,47.720001,47.720001,4361000,"medium"
2020-08-18,47.630001,48.110001,47.209999,47.689999,47.689999,3494800,"medium"
2020-08-19,48.150002,48.48,47.220001,47.470001,47.470001,3587300,"medium"
2020-08-20,46.91,47.790001,46.619999,47.459999,47.459999,2930200,"medium"
2020-08-21,48.150002,49.369999,47.860001,48.52,48.52,6626300,"medium"
2020-08-24,48.720001,49.900002,47.720001,49.810001,49.810001,5074100,"medium"
2020-08-25,50.18,50.799999,49.630001,49.959999,49.959999,3833100,"high"
2020-08-26,50,50.200001,49.099998,49.860001,49.860001,3755800,"high"
2020-08-27,49.900002,51.290001,49.810001,50.529999,50.529999,4932200,"high"
2020-08-28,51.139999,52.959999,50.669998,52.16,52.16,6978200,"high"
2020-08-31,52.060001,52.099998,50.709999,50.709999,50.709999,5732300,"high"
2020-09-01,50.73,51.32,49.580002,49.650002,49.650002,7728600,"high"
2020-09-02,49.700001,51.639999,49.599998,51.330002,51.330002,6872500,"high"
2020-09-03,51.509998,52.27,49.919998,50.630001,50.630001,5820500,"high"
2020-09-04,51.400002,52.450001,50.959999,51.959999,51.959999,7735100,"high"
2020-09-08,51.029999,52.450001,50.599998,51.669998,51.669998,8702200,"high"
2020-09-09,51.669998,51.810001,50.509998,50.84,50.84,4342000,"high"
2020-09-10,51.349998,53.099998,50.91,52.32,52.32,5980600,"high"
2020-09-11,52.950001,53.139999,51.259998,51.91,51.91,5678100,"high"
2020-09-14,52.16,53.189999,52.110001,53.099998,53.099998,4281800,"high"
2020-09-15,53.25,53.509998,51.810001,51.849998,51.849998,5173700,"high"
2020-09-16,51.540001,51.77,47.23,49.669998,49.669998,12557700,"high"
2020-09-17,48.84,49.32,48.57,49.080002,49.080002,5451900,"medium"
2020-09-18,49.07,49.759998,48.73,49,49,7615600,"medium"
2020-09-21,46.880001,47.209999,45.18,46.439999,46.439999,6518400,"medium"
2020-09-22,46.509998,47.380001,45.880001,46.25,46.25,4131800,"low"
2020-09-23,46.560001,47.490002,44.959999,45.040001,45.040001,4477700,"medium"
2020-09-24,44.860001,45.970001,44.060001,45.91,45.91,6974700,"low"
2020-09-25,45.740002,47.209999,45.41,46.959999,46.959999,4663800,"low"
2020-09-28,47.57,48.130001,47.200001,47.619999,47.619999,2843000,"medium"
2020-09-29,47.57,47.689999,46.330002,46.720001,46.720001,2503500,"medium"
2020-09-30,47.110001,47.669998,46.310001,46.66,46.66,3064000,"medium"
2020-10-01,46.459999,46.93,45.919998,46.220001,46.220001,3379800,"low"
2020-10-02,45.189999,46.599998,44.77,46.150002,46.150002,4278600,"low"
2020-10-05,46.150002,46.279999,44.950001,46.220001,46.220001,7117100,"low"
2020-10-06,46.639999,48.049999,46.290001,46.419998,46.419998,4915600,"medium"
2020-10-07,46.959999,47.099998,46.110001,46.18,46.18,3655400,"medium"
2020-10-08,46.400002,46.66,45.93,46.110001,46.110001,4378600,"low"
2020-10-09,46.18,46.369999,45.099998,45.720001,45.720001,7820400,"low"
2020-10-12,45.650002,46.490002,45.610001,46.169998,46.169998,4964700,"low"
2020-10-13,45.52,45.880001,44.080002,44.810001,44.810001,5338000,"low"
2020-10-14,44.919998,45.599998,44.84,44.98,44.98,4072700,"low"
2020-10-15,44.5,45.779999,44.360001,45.740002,45.740002,6623600,"low"
2020-10-16,45.810001,46.240002,45,45.369999,45.369999,3107700,"low"
2020-10-19,45.25,46.279999,44.849998,44.959999,44.959999,8732300,"low"
